__store_latitude,__store_longitude,latitude,longitude,store,__batch_group,totalhours,buildingsize,decortype,buildingstyletype,franchisee_grade,drivethruindicator,numberofindoorcustomerareaseats,__store_class,__market_class,__store_bg,__store_class_respop,total_comp_1_mi,total_comp_dma,total_comp_3_mi,total_comp_5_mi,total_comp_adjacent,total_comp_ta,sis_dma,sis_1_mi,sis_3_mi,sis_adjacent,sis_5_mi,sis_ta,__success,__errors
38.94549851816754,-76.97801920751388,38.94549851816754,-76.97801920751388,6470000,3,0,0,0,0,0,0,0,4,1,110010094001,3,6,2523,81,225,0,43,361,1,9,0,39,5,True,0
34.882441135283045,-82.45424099103914,34.882441135283045,-82.45424099103914,1145900,3,0,0,0,0,0,0,0,6,3,450450037062,5,3,1194,23,50,2,35,138,0,3,0,4,3,True,0
41.39402293018357,-75.68726428441006,41.39402293018357,-75.68726428441006,3961600,4,0,0,0,0,0,0,0,5,3,420691125006,4,7,447,24,41,1,21,74,1,2,0,4,2,True,0
33.49049025319796,-84.91271912736434,33.49049025319796,-84.91271912736434,3162400,4,0,0,0,0,0,0,0,7,1,130459108002,7,0,3583,0,0,0,0,378,0,0,0,0,0,True,0
33.73919387023779,-84.41538222892882,33.73919387023779,-84.41538222892882,5324800,4,0,0,0,0,0,0,0,4,1,131210042002,4,13,3583,66,174,7,25,378,1,8,0,18,4,True,0
35.491465999801925,-92.0349299335898,35.491465999801925,-92.0349299335898,1216000,4,0,0,0,0,0,0,0,7,7,50234804002,7,0,801,10,10,0,10,105,0,1,0,1,1,True,0
38.781261,-77.186912,38.781261,-77.186912,3579300,4,0,0,0,0,0,0,0,5,1,510594306003,4,19,2523,51,110,7,24,361,2,6,0,18,3,True,0
36.54303214170877,-85.49407164919566,36.54303214170877,-85.49407164919566,4731500,4,0,0,0,0,0,0,0,7,7,470279550004,7,1,1627,1,1,0,1,202,0,0,0,0,0,True,0
47.622644,-122.132005,47.622644,-122.132005,2436300,4,0,0,0,0,0,0,0,4,1,530330232021,4,13,1633,24,73,1,14,317,0,5,0,14,1,True,0
41.522478893937645,-88.12337962014453,41.522478893937645,-88.12337962014453,1217100,4,0,0,0,0,0,0,0,5,1,171978828011,4,20,4155,43,97,13,33,547,1,5,0,8,3,True,0
27.959865556554345,-82.4023829215271,27.959865556554345,-82.4023829215271,2423900,4,0,0,0,0,0,0,0,5,1,120570037001,5,8,2022,23,77,6,10,205,0,3,0,12,1,True,0
38.78899235038856,-75.31394768170523,38.78899235038856,-75.31394768170523,3449000,4,0,0,0,0,0,0,0,7,4,100050508011,7,1,184,1,1,1,1,20,0,0,0,0,0,True,0
38.95553730995931,-92.37211585797404,38.95553730995931,-92.37211585797404,572700,5,0,0,0,0,0,0,0,6,5,290190013002,5,17,215,36,85,1,38,32,1,3,0,6,3,True,0
35.72617508856347,-78.65419689352032,35.72617508856347,-78.65419689352032,138100,5,0,0,0,0,0,0,0,6,2,371830530091,5,11,1545,21,82,0,21,179,1,4,0,11,3,True,0
36.20162432990081,-119.10199904768876,36.20162432990081,-119.10199904768876,1542100,5,0,0,0,0,0,0,0,7,4,61070028002,6,4,817,4,4,4,4,110,0,0,0,0,0,True,0
33.97488633980163,-117.54422752790774,33.97488633980163,-117.54422752790774,3998800,5,0,0,0,0,0,0,0,6,1,60650406152,4,17,6752,35,88,6,35,875,1,2,0,9,2,True,0
39.72692242427507,-121.80364839527576,39.72692242427507,-121.80364839527576,414900,5,0,0,0,0,0,0,0,6,4,60070009031,5,12,161,28,37,6,27,28,2,5,0,6,5,True,0
35.78292454459721,-80.86038454622668,35.78292454459721,-80.86038454622668,255100,5,0,0,0,0,0,0,0,6,1,370970606012,6,13,1698,30,36,0,31,151,1,2,0,3,2,True,0
37.86747076580605,-82.53390623626422,37.86747076580605,-82.53390623626422,6361500,5,0,0,0,0,0,0,0,7,7,211599502005,7,3,697,6,6,0,3,74,0,0,0,0,0,True,0
33.694421923737266,-117.955078207014,33.694421923737266,-117.955078207014,326500,5,0,0,0,0,0,0,0,4,1,60590992321,3,13,6752,97,224,1,31,875,0,12,0,27,4,True,0
29.870831,-95.546061,29.870831,-95.546061,67600,5,0,0,0,0,0,0,0,5,1,482015342031,4,1,3674,44,145,1,18,417,0,5,0,19,1,True,0
32.11005162457376,-81.23145762600622,32.11005162457376,-81.23145762600622,1280000,5,0,0,0,0,0,0,0,6,4,130510108032,6,9,537,41,58,3,17,62,0,1,0,3,1,True,0
42.9956059704352,-78.1757096336501,42.9956059704352,-78.1757096336501,1281400,6,0,0,0,0,0,0,0,6,6,360379510001,6,6,501,16,16,0,16,74,0,2,0,2,2,True,0
40.70092499174936,-73.59280966996353,40.70092499174936,-73.59280966996353,2742400,6,0,0,0,0,0,0,0,4,1,360594074011,3,4,5316,64,175,1,38,535,0,4,0,18,3,True,0
37.97659062841959,-87.63324605890685,37.97659062841959,-87.63324605890685,1203800,6,0,0,0,0,0,0,0,6,4,181630032003,5,11,350,22,40,7,22,58,0,2,0,6,2,True,0
30.29468804887881,-92.02877620007835,30.29468804887881,-92.02877620007835,4080300,6,0,0,0,0,0,0,0,6,4,220550010011,5,3,286,20,36,2,17,36,0,1,0,3,0,True,0
42.69978650039872,-73.11436698923877,42.69978650039872,-73.11436698923877,798100,6,0,0,0,0,0,0,0,7,5,250039353004,7,5,400,6,8,5,9,80,0,0,0,1,0,True,0
45.10284475896937,-93.2063760963226,45.10284475896937,-93.2063760963226,3182000,6,0,0,0,0,0,0,0,6,1,271230409021,4,6,1701,24,96,0,21,312,0,3,0,11,2,True,0
29.408534,-94.932559,29.408534,-94.932559,4044300,6,0,0,0,0,0,0,0,6,1,481677220013,5,6,3674,21,26,0,21,417,1,2,0,3,2,True,0
39.72360756504003,-90.24264106698028,39.72360756504003,-90.24264106698028,580000,6,0,0,0,0,0,0,0,6,6,171379518004,6,17,470,20,20,7,20,87,0,2,0,2,2,True,0
38.28328340103184,-85.62985416100805,38.28328340103184,-85.62985416100805,1152500,6,0,0,0,0,0,0,0,6,2,211110103183,4,6,934,35,100,5,28,113,0,4,0,11,3,True,0
30.84499334648733,-90.15517601880777,30.84499334648733,-90.15517601880777,3337300,6,0,0,0,0,0,0,0,7,6,221179503002,7,9,729,9,9,7,9,134,0,0,0,0,0,True,0
37.08345533026528,-97.0398147954408,37.08345533026528,-97.0398147954408,1078300,7,0,0,0,0,0,0,0,7,6,200354937002,7,7,672,9,9,7,9,86,0,0,0,0,0,True,0
30.31329623501221,-86.11450208933945,30.31329623501221,-86.11450208933945,3428500,7,0,0,0,0,0,0,0,7,4,121319506021,7,0,225,0,2,0,0,28,0,0,0,0,0,True,0
34.69282211818906,-79.90999113292078,34.69282211818906,-79.90999113292078,630300,7,0,0,0,0,0,0,0,7,7,450259505023,7,8,1698,11,11,5,11,151,0,0,0,0,0,True,0
28.697444360559185,-81.3589506776785,28.697444360559185,-81.3589506776785,1079800,7,0,0,0,0,0,0,0,5,1,121170215041,4,7,1991,43,88,3,44,183,0,3,0,8,1,True,0
39.14343746724673,-94.71894276339684,39.14343746724673,-94.71894276339684,5747900,7,0,0,0,0,0,0,0,6,2,202090443012,5,2,1321,16,36,0,4,136,0,0,0,2,0,True,0
38.65279,-77.305806,38.65279,-77.305806,2032400,7,0,0,0,0,0,0,0,5,1,511539004034,4,25,2523,72,91,6,64,361,2,7,0,12,5,True,0
38.89987593746926,-90.03826913292617,38.89987593746926,-90.03826913292617,1589400,7,0,0,0,0,0,0,0,7,1,171194028031,6,3,1466,13,25,1,19,194,0,2,0,3,2,True,0
31.446529,-100.478219,31.446529,-100.478219,601600,7,0,0,0,0,0,0,0,5,5,484510011014,4,10,105,61,77,7,49,6,0,4,0,4,2,True,0
29.75744,-95.77824,29.75744,-95.77824,4392400,7,0,0,0,0,0,0,0,5,1,481576731012,4,2,3674,81,158,1,52,417,0,4,0,16,2,True,0
34.219223764056665,-119.07864203122708,34.219223764056665,-119.07864203122708,2677900,7,0,0,0,0,0,0,0,6,3,61110056001,4,9,6752,23,41,0,23,875,0,2,0,6,1,True,0
41.62355694953554,-87.8531137300493,41.62355694953554,-87.8531137300493,3209000,8,0,0,0,0,0,0,0,6,1,170318241151,4,16,4155,36,89,6,55,547,0,1,0,5,1,True,0
41.38591692077825,-84.1208407445314,41.38591692077825,-84.1208407445314,3863300,8,0,0,0,0,0,0,0,7,7,390690004002,7,0,502,11,11,0,11,78,0,1,0,1,1,True,0
45.638104,-89.413154,45.638104,-89.413154,575800,8,0,0,0,0,0,0,0,7,7,550859714004,6,7,182,12,12,4,12,31,0,1,0,1,1,True,0
19.649604066449648,-156.00494097674724,19.649604066449648,-156.00494097674724,717600,8,0,0,0,0,0,0,0,7,4,150010215042,6,9,475,13,13,4,13,74,0,1,0,2,1,True,0
