banks_10mi,banks_1mi,banks_2mi,banks_3mi,banks_5mi,centerxy_full_0p5_intersect_count,centerxy_full_0p5_intersect_gla,centerxy_full_count_10mi,centerxy_full_count_1mi,centerxy_full_count_2mi,centerxy_full_count_3mi,centerxy_full_count_5mi,centerxy_full_gla_10mi,centerxy_full_gla_1mi,centerxy_full_gla_2mi,centerxy_full_gla_3mi,centerxy_full_gla_5mi,centerxy_full_nearest_dist,centerxy_gla_effective_10mi,centerxy_gla_effective_1mi,centerxy_gla_effective_2mi,centerxy_gla_effective_3mi,centerxy_gla_effective_5mi,country_code,dmm_count_10mi,dmm_count_1mi,dmm_count_2mi,dmm_count_3mi,dmm_count_5mi,dmm_gla_10mi,dmm_gla_1mi,dmm_gla_2mi,dmm_gla_3mi,dmm_gla_5mi,dmm_nearest_dist,hrsa_hospitals_10mi,hrsa_hospitals_1mi,hrsa_hospitals_2mi,hrsa_hospitals_3mi,hrsa_hospitals_5mi,hrsa_hospitals_nearest_dist,hrsa_number_of_certified_beds_10mi,hrsa_number_of_certified_beds_1mi,hrsa_number_of_certified_beds_2mi,hrsa_number_of_certified_beds_3mi,hrsa_number_of_certified_beds_5mi,inrix_aadt_ew,inrix_aadt_ns,inrix_afternoon_ew,inrix_afternoon_ns,inrix_breakfast_ew,inrix_breakfast_ns,inrix_dinner_ew,inrix_dinner_ns,inrix_ew_distance,inrix_lunch_ew,inrix_lunch_ns,inrix_night_ew,inrix_night_ns,inrix_ns_distance,inrix_overnight_ew,inrix_overnight_ns,ipeds_postsecondary_nearest_dist,ipeds_postsecondary_schools_10mi,ipeds_postsecondary_schools_1mi,ipeds_postsecondary_schools_2mi,ipeds_postsecondary_schools_3mi,ipeds_postsecondary_schools_5mi,ipeds_postsecondary_schools_total_enrollment_10mi,ipeds_postsecondary_schools_total_enrollment_1mi,ipeds_postsecondary_schools_total_enrollment_2mi,ipeds_postsecondary_schools_total_enrollment_3mi,ipeds_postsecondary_schools_total_enrollment_5mi,military_installations_10mi,military_installations_1mi,military_installations_2mi,military_installations_3mi,military_installations_5mi,nces_private_schools_10mi,nces_private_schools_1mi,nces_private_schools_2mi,nces_private_schools_3mi,nces_private_schools_5mi,nces_private_schools_nearest_dist,nces_private_schools_total_enrollment_10mi,nces_private_schools_total_enrollment_1mi,nces_private_schools_total_enrollment_2mi,nces_private_schools_total_enrollment_3mi,nces_private_schools_total_enrollment_5mi,nces_public_schools_10mi,nces_public_schools_1mi,nces_public_schools_2mi,nces_public_schools_3mi,nces_public_schools_5mi,nces_public_schools_nearest_dist,nces_public_schools_total_enrollment_10mi,nces_public_schools_total_enrollment_1mi,nces_public_schools_total_enrollment_2mi,nces_public_schools_total_enrollment_3mi,nces_public_schools_total_enrollment_5mi,osm_highway_exits_count_10mi,osm_highway_exits_count_1mi,osm_highway_exits_count_2mi,osm_highway_exits_count_3mi,osm_highway_exits_count_5mi,osm_nearest_exit_dist,places_of_worship_10mi,places_of_worship_1mi,places_of_worship_2mi,places_of_worship_3mi,places_of_worship_5mi,store,transitstop_nearest_dist,transitstops
58,4,13,26,40,1,62281.0,30,1,10,16,19,5730073.0,62281.0,1385873.0,3346619.0,3918795.0,0.05401493523771,3968420.719340788,0.0,1035370.07200681,2687355.52873269,2979268.31124277,US,9,0,3,7,8,3381586.0,0.0,846517.0,2339057.0,2419057.0,1.5549237245353404,9,4,6,7,9,0.1880855378047785,1404.0,940.0,997.0,1109.0,1404.0,1727,14167,204.0,1625.0,219.0,1560.0,148.0,1234.0,0.0344136615993333,182.0,1480.0,63.0,587.0,0.0299293522189285,30.0,189.0,1.3683784382198023,6,0,3,6,6,36866.0,0.0,9759.0,36866.0,36866.0,1,0,0,0,1,21,4,10,12,16,0.2502411378022686,5002.0,1129.0,2286.0,2804.0,3210.0,50,3,13,26,40,0.6493300639945451,27625.0,2094.0,7553.0,13493.0,21139.0,68,4,8,16,49,0.4686472200975025,205,11,64,100,148,SK 0922,4.898410692584527,0
119,1,12,18,37,0,0.0,45,0,4,7,12,10932829.0,0.0,613023.0,1031558.0,2350940.0,1.6060502468209064,8308408.856530562,0.0,710910.93813127,1043108.11306684,2537068.3169785803,US,16,0,1,3,5,7917983.0,0.0,266691.0,616386.0,1507318.0,1.6367494180308144,9,0,0,0,1,3.311961430908793,1090.0,0.0,0.0,0.0,198.0,238,29428,57.0,2997.0,47.0,4214.0,48.0,2557.0,0.0100086074400102,43.0,2891.0,23.0,1261.0,0.0587839007208103,21.0,805.0,1.6122355650119011,9,0,1,1,1,22408.0,0.0,50.0,50.0,50.0,0,0,0,0,0,40,0,3,3,13,1.4427959674005189,12139.0,0.0,764.0,764.0,3949.0,113,4,5,9,15,0.2569088077868192,70756.0,5330.0,6394.0,8825.0,12175.0,63,0,0,0,0,6.6858179422286605,418,1,17,25,54,SK 0609,4.074287918564323,0
235,6,11,15,68,1,297000.0,185,1,5,17,46,31190939.0,297000.0,662515.0,3216544.0,7538715.0,0.1612713082630753,30118956.59157064,467032.62503401,924749.97054906,3529122.45837968,7987286.4796670545,US,42,0,1,4,9,16811038.0,0.0,107085.0,1837626.0,3915966.0,1.8129509718587584,26,0,0,2,3,2.3866166341330577,3761.0,0.0,0.0,206.0,266.0,10670,10074,2511.0,2223.0,1981.0,2215.0,2398.0,2160.0,0.056740400479162,2171.0,1941.0,1309.0,1220.0,0.0432099223740621,300.0,316.0,1.1974982996762986,16,0,1,1,2,38068.0,0.0,123.0,123.0,311.0,0,0,0,0,0,72,0,1,5,15,1.9398103045928976,14146.0,0.0,231.0,1021.0,2471.0,286,6,13,29,79,0.627906916674045,187656.0,4862.0,8768.0,19804.0,54616.0,162,3,10,13,34,0.4782329268308595,915,6,34,77,256,SK 0995,0.0652846965437826,8
176,3,9,15,46,4,1149083.0,74,4,4,5,29,14865169.0,1149083.0,1149083.0,1245676.0,6110014.0,0.0640721335638123,9850231.487614032,749195.1253277999,749195.1253277999,749195.1253277999,2882580.088073423,US,23,3,3,3,8,9481014.0,611930.0,611930.0,611930.0,3441362.0,0.0499098638837619,7,0,0,1,1,2.9934745946899093,1957.0,0.0,0.0,582.0,582.0,2865,1256,676.0,159.0,655.0,143.0,551.0,132.0,0.1250093349589695,622.0,127.0,273.0,72.0,0.0530434023260774,89.0,30.0,2.808649880159493,15,0,0,2,2,32128.0,0.0,0.0,12899.0,12899.0,0,0,0,0,0,60,0,4,9,22,1.2552310162878366,13102.0,0.0,233.0,809.0,6715.0,305,3,9,24,91,0.7314816361311385,126172.0,1327.0,5323.0,9242.0,37161.0,134,6,8,21,59,0.7447021660822094,979,4,37,111,353,SK 1950,1.8208475133665103,0
151,4,13,14,65,3,629838.0,85,5,15,19,40,15749595.0,1149554.0,3724196.0,4204656.0,7183860.0,0.1562718086827007,13901696.502869118,661370.0847308431,2067125.723178761,2566369.548070411,5284062.481575897,US,28,2,7,7,11,9825555.0,610758.0,2897723.0,2897723.0,4003081.0,0.13488130694366,10,0,0,0,4,3.911166238364651,1977.0,0.0,0.0,0.0,629.0,34000,34114,3697.0,4121.0,3522.0,3113.0,3304.0,3750.0,0.0977877641068768,3153.0,3002.0,2137.0,2426.0,0.0233929275367147,677.0,799.0,3.739116260520268,10,0,0,0,3,35799.0,0.0,0.0,0.0,6112.0,0,0,0,0,0,52,0,1,3,13,1.7978582057092982,15119.0,0.0,98.0,200.0,3226.0,139,2,13,28,51,0.2748479528224138,85989.0,1122.0,6578.0,16239.0,29618.0,116,3,7,10,27,0.3313825209333817,417,4,21,58,140,SK 0433,14.165902899543886,0
23,3,9,13,23,0,0.0,8,1,1,3,8,1686063.0,82497.0,82497.0,314547.0,1686063.0,0.9817430665579894,1618554.40220669,0.0,0.0,162754.01052647,1618554.40220669,US,2,0,0,0,2,882996.0,0.0,0.0,0.0,882996.0,4.030400317098698,6,1,4,4,6,0.1783283245853339,769.0,265.0,701.0,701.0,769.0,19739,11729,2284.0,1360.0,1948.0,1404.0,2092.0,1354.0,0.0203646140287331,2111.0,1195.0,1194.0,864.0,0.0193647456911124,312.0,223.0,0.3416071948617266,4,2,4,4,4,10416.0,10227.0,10416.0,10416.0,10416.0,0,0,0,0,0,10,1,8,9,10,0.9290863481198102,2304.0,133.0,1677.0,2007.0,2304.0,27,6,15,21,24,0.9236314880707368,13062.0,1309.0,5325.0,9194.0,11686.0,34,0,0,10,22,2.084703191000589,56,5,23,47,51,SK 1460,93.82102316610752,0
45,2,5,29,42,3,1294900.0,22,4,7,10,17,3281707.0,1485255.0,1757633.0,2262032.0,2944865.0,0.1939647334261111,3679470.266132765,2076363.1785231105,2260879.606413916,2928582.156641555,3679470.266132765,US,6,4,5,6,6,2312024.0,1562024.0,1912024.0,2312024.0,2312024.0,0.1962428028355107,5,2,4,5,5,0.6149943542742827,1939.0,819.0,1011.0,1939.0,1939.0,15349,851,3785.0,69.0,2885.0,66.0,3281.0,57.0,0.0189776565126341,3278.0,61.0,1738.0,27.0,0.0267948965010715,381.0,24.0,0.7436319027317987,5,1,2,3,4,48652.0,0.0,41992.0,42054.0,42883.0,0,0,0,0,0,7,1,2,4,7,0.9181003060077968,2843.0,986.0,1450.0,2017.0,2843.0,43,1,5,7,33,0.8880779780364464,22773.0,581.0,2452.0,3288.0,16900.0,23,4,6,16,18,0.3045006769216366,112,2,17,64,97,SK 1930,2.1293627095530345,0
155,11,15,23,56,1,371748.0,51,2,5,10,22,12748964.0,861052.0,1354152.0,4190228.0,7702522.0,0.2825979652315954,6416238.269029333,561095.6099266,920129.258791417,1681298.2222342351,3419985.183121392,US,20,2,3,6,12,9211026.0,731318.0,1001318.0,3580114.0,6211749.0,0.2820863009335714,22,0,1,1,4,1.0253323719829113,5418.0,0.0,280.0,280.0,518.0,26439,768,3133.0,112.0,2903.0,94.0,2747.0,96.0,0.0277387145745499,2843.0,85.0,1308.0,51.0,0.028235650516614,334.0,25.0,0.3304407048751601,15,1,2,3,5,29650.0,325.0,1822.0,1956.0,7440.0,0,0,0,0,0,37,0,1,5,16,1.08128812504012,13450.0,0.0,176.0,2096.0,7163.0,162,1,7,11,35,0.6253051159004198,69027.0,543.0,4560.0,6291.0,15354.0,97,7,12,15,23,0.4618223226415895,604,6,17,37,124,SK 1578,0.0763506832230552,11
274,10,17,37,90,0,0.0,126,3,8,17,46,22746326.0,915281.0,1662101.0,3571346.0,7484323.0,0.7878502485470886,19621054.125550658,1100013.95610704,1685125.112838753,2605244.180961523,5235976.046768088,US,33,3,5,6,13,15845441.0,1513600.0,3071912.0,4270216.0,6371354.0,0.7847745291525838,27,0,1,2,6,1.7465913678802634,7246.0,0.0,42.0,185.0,1726.0,4234,13774,477.0,1704.0,426.0,1174.0,396.0,1511.0,0.0588816456459512,368.0,1435.0,227.0,1000.0,0.0477224341228771,52.0,162.0,1.528424153748746,24,0,1,4,11,59016.0,0.0,293.0,1017.0,12409.0,0,0,0,0,0,103,2,6,16,36,0.0658849994935524,26389.0,752.0,2282.0,3964.0,9396.0,213,1,9,21,52,0.2420162947401683,101860.0,701.0,6028.0,11146.0,28149.0,217,2,10,25,60,0.9264498388403972,759,26,42,70,188,SK 1047,0.064302659343343,10
55,5,11,21,47,0,0.0,13,1,3,4,11,2460418.0,229871.0,539259.0,864259.0,2318571.0,0.5876658484234597,4161987.25242437,1161751.23437844,1588330.13516716,2051873.80130126,4161987.25242437,US,4,1,1,2,4,1823000.0,400000.0,400000.0,725000.0,1823000.0,0.588663295522632,6,1,1,4,5,0.8918643552185166,600.0,30.0,30.0,356.0,460.0,249,34558,54.0,7946.0,56.0,7938.0,49.0,6802.0,0.0386886431282878,43.0,7462.0,25.0,3564.0,0.0274343925706644,23.0,846.0,1.248354338025821,3,0,1,1,2,4143.0,0.0,341.0,341.0,4036.0,0,0,0,0,0,4,0,1,1,3,1.915203124842794,1571.0,0.0,471.0,471.0,953.0,25,0,0,3,12,2.08092622771195,19483.0,0.0,0.0,1519.0,10649.0,24,0,7,10,17,1.046420507920574,82,1,7,20,57,SK 0180,21.40749832072977,0
