banks_10mi,banks_1mi,banks_2mi,banks_3mi,banks_5mi,centerxy_full_0p5_intersect_count,centerxy_full_0p5_intersect_gla,centerxy_full_count_10mi,centerxy_full_count_1mi,centerxy_full_count_2mi,centerxy_full_count_3mi,centerxy_full_count_5mi,centerxy_full_gla_10mi,centerxy_full_gla_1mi,centerxy_full_gla_2mi,centerxy_full_gla_3mi,centerxy_full_gla_5mi,centerxy_full_nearest_dist,centerxy_gla_effective_10mi,centerxy_gla_effective_1mi,centerxy_gla_effective_2mi,centerxy_gla_effective_3mi,centerxy_gla_effective_5mi,country_code,dmm_count_10mi,dmm_count_1mi,dmm_count_2mi,dmm_count_3mi,dmm_count_5mi,dmm_gla_10mi,dmm_gla_1mi,dmm_gla_2mi,dmm_gla_3mi,dmm_gla_5mi,dmm_nearest_dist,hrsa_hospitals_10mi,hrsa_hospitals_1mi,hrsa_hospitals_2mi,hrsa_hospitals_3mi,hrsa_hospitals_5mi,hrsa_hospitals_nearest_dist,hrsa_number_of_certified_beds_10mi,hrsa_number_of_certified_beds_1mi,hrsa_number_of_certified_beds_2mi,hrsa_number_of_certified_beds_3mi,hrsa_number_of_certified_beds_5mi,inrix_aadt_ew,inrix_aadt_ns,inrix_afternoon_ew,inrix_afternoon_ns,inrix_breakfast_ew,inrix_breakfast_ns,inrix_dinner_ew,inrix_dinner_ns,inrix_ew_distance,inrix_lunch_ew,inrix_lunch_ns,inrix_night_ew,inrix_night_ns,inrix_ns_distance,inrix_overnight_ew,inrix_overnight_ns,ipeds_postsecondary_nearest_dist,ipeds_postsecondary_schools_10mi,ipeds_postsecondary_schools_1mi,ipeds_postsecondary_schools_2mi,ipeds_postsecondary_schools_3mi,ipeds_postsecondary_schools_5mi,ipeds_postsecondary_schools_total_enrollment_10mi,ipeds_postsecondary_schools_total_enrollment_1mi,ipeds_postsecondary_schools_total_enrollment_2mi,ipeds_postsecondary_schools_total_enrollment_3mi,ipeds_postsecondary_schools_total_enrollment_5mi,military_installations_10mi,military_installations_1mi,military_installations_2mi,military_installations_3mi,military_installations_5mi,nces_private_schools_10mi,nces_private_schools_1mi,nces_private_schools_2mi,nces_private_schools_3mi,nces_private_schools_5mi,nces_private_schools_nearest_dist,nces_private_schools_total_enrollment_10mi,nces_private_schools_total_enrollment_1mi,nces_private_schools_total_enrollment_2mi,nces_private_schools_total_enrollment_3mi,nces_private_schools_total_enrollment_5mi,nces_public_schools_10mi,nces_public_schools_1mi,nces_public_schools_2mi,nces_public_schools_3mi,nces_public_schools_5mi,nces_public_schools_nearest_dist,nces_public_schools_total_enrollment_10mi,nces_public_schools_total_enrollment_1mi,nces_public_schools_total_enrollment_2mi,nces_public_schools_total_enrollment_3mi,nces_public_schools_total_enrollment_5mi,osm_highway_exits_count_10mi,osm_highway_exits_count_1mi,osm_highway_exits_count_2mi,osm_highway_exits_count_3mi,osm_highway_exits_count_5mi,osm_nearest_exit_dist,places_of_worship_10mi,places_of_worship_1mi,places_of_worship_2mi,places_of_worship_3mi,places_of_worship_5mi,store,transitstop_nearest_dist,transitstops
120,3,10,26,41,0,0.0,65,1,2,13,22,16455206.0,198023.0,307544.0,2110684.0,5911605.0,0.5022571494574961,18816181.62040089,455258.02946446,664252.40234337,3352992.8319713203,8060988.3492220305,US,31,1,1,4,9,14953792.0,198023.0,198023.0,1778157.0,4566520.0,0.5125616654688245,17,1,2,3,8,0.21891063503892,1451.0,1.0,2.0,42.0,543.0,20933,2540,4281.0,389.0,5185.0,294.0,3967.0,357.0,0.0345096145131724,4099.0,347.0,2475.0,194.0,0.0849161339257433,925.0,44.0,2.0666422343965145,9,0,0,1,3,2956.0,0.0,0.0,334.0,1031.0,0,0,0,0,0,25,0,1,4,5,1.0103521672408335,4464.0,0.0,24.0,558.0,765.0,174,1,9,31,51,0.8359192998771541,110757.0,357.0,9132.0,21402.0,36786.0,123,0,2,17,45,1.8755413691008669,314,5,30,76,128,SK 1504,14.818824473802882,0
93,6,15,30,52,2,253302.0,54,2,9,20,37,8582600.0,253302.0,1151491.0,4067734.0,6754293.0,0.0902990742201539,7381541.275923528,253302.0,1297196.693957145,3113756.4574443246,6407709.839804089,US,8,0,1,4,7,4035774.0,0.0,192802.0,2657994.0,3793018.0,1.2674443643573694,8,0,1,3,5,1.6902167754993986,1922.0,0.0,349.0,613.0,1079.0,1404,13891,221.0,3419.0,181.0,2770.0,178.0,2919.0,0.0773066064935972,191.0,2784.0,82.0,1630.0,0.0278677879078115,29.0,369.0,1.6868366535203747,8,0,2,4,6,24586.0,0.0,16724.0,18733.0,18929.0,1,0,0,0,1,30,0,1,10,15,1.7987155335432572,10530.0,0.0,481.0,4511.0,7747.0,78,1,6,13,27,0.682489882844715,45635.0,998.0,3403.0,6852.0,15818.0,58,0,0,3,14,2.617071646970568,305,12,82,109,154,SK 0057,49.572856439634585,0
141,8,15,25,40,3,395307.0,73,4,9,14,23,14822428.0,767612.0,1504997.0,2273210.0,4433662.0,0.0991710694119696,12148432.09114175,1035500.73888435,1917870.77155597,2753603.3338332823,4153869.0355602633,US,22,2,3,5,8,10290603.0,480313.0,788450.0,1346911.0,3139452.0,0.1198267446245102,11,0,0,3,3,2.425998611170728,1993.0,0.0,0.0,506.0,506.0,5372,460,704.0,52.0,454.0,53.0,632.0,43.0,0.1309227174449524,521.0,43.0,351.0,23.0,0.1248900127670877,56.0,21.0,0.3589954645449608,8,1,2,2,2,58310.0,225.0,10568.0,10568.0,10568.0,0,0,0,0,0,27,1,2,4,7,0.5615505859304728,8151.0,308.0,516.0,1028.0,2194.0,96,2,9,18,29,0.6765853807960961,55532.0,678.0,2820.0,9180.0,15507.0,162,2,8,25,45,0.1949367571797073,277,6,23,57,78,SK 1415,3.5183078865700126,0
237,13,38,48,71,2,415300.0,124,2,3,8,24,24562434.0,415300.0,588410.0,2019110.0,5499793.0,0.3387102237340057,20119605.60466617,414180.97674228,622233.8955298599,2045420.04196729,4626572.620504744,US,36,1,1,2,5,15277908.0,209908.0,209908.0,1188476.0,3562389.0,0.3490926672135319,15,2,3,3,3,0.4756819822802429,3746.0,723.0,787.0,787.0,787.0,21638,1007,4434.0,155.0,4323.0,160.0,4164.0,128.0,0.0242653551990932,4088.0,130.0,3469.0,66.0,0.0296548371422654,1160.0,27.0,1.364695181399895,22,0,2,3,4,117779.0,0.0,49875.0,49908.0,50333.0,0,0,0,0,0,96,1,4,9,23,0.7472072390253239,22384.0,360.0,1154.0,3616.0,5131.0,184,3,7,17,52,0.1293217905709388,121834.0,1432.0,2930.0,7588.0,29823.0,114,0,6,31,61,1.3930428206669263,1202,10,50,116,393,SK 1231,0.0217902263330431,25
394,5,13,37,105,1,97937.0,221,5,13,21,64,42173664.0,582021.0,1653150.0,4478125.0,12091985.0,0.1561246991431644,39230677.980482526,308913.0,1200362.7150446,3189100.99647436,10580779.31417307,US,69,1,2,5,22,28358845.0,182824.0,453417.0,2085537.0,6639304.0,0.621040088648809,40,0,2,7,17,1.4800739086424706,4507.0,0.0,33.0,334.0,972.0,8632,1126,1944.0,239.0,1713.0,292.0,1938.0,228.0,0.0371057046872631,1577.0,205.0,1162.0,120.0,0.0628043450740026,298.0,41.0,1.766812279480943,19,0,1,3,6,40760.0,0.0,535.0,804.0,1561.0,0,0,0,0,0,103,0,3,6,30,1.841182130523452,30641.0,0.0,2205.0,3670.0,11543.0,280,5,10,28,69,0.4594575227860577,179702.0,2524.0,4945.0,19741.0,47129.0,366,3,14,23,72,0.7119494503340975,903,12,58,117,273,SK 1535,0.0552894888810697,17
66,7,8,18,25,1,386517.0,37,5,7,10,17,5545914.0,955725.0,1135134.0,1885821.0,2751165.0,0.4140659123121014,6740655.808045094,2088344.52405715,2202125.52405715,3498896.88942914,4289191.498391829,US,10,2,3,5,6,3745325.0,727065.0,1234985.0,1886468.0,2124970.0,0.4281928872405445,2,1,1,1,2,0.0475948982157452,5.0,1.0,1.0,1.0,5.0,22499,1750,2397.0,337.0,2482.0,599.0,2279.0,286.0,0.0405093183043942,2139.0,281.0,1409.0,139.0,0.1026484620955903,423.0,109.0,4.9579168445537,2,0,0,0,1,205.0,0.0,0.0,0.0,140.0,0,0,0,0,0,12,0,1,2,2,1.1140755596379848,1194.0,0.0,49.0,66.0,66.0,187,5,15,36,55,0.1226046339740221,127435.0,7958.0,15591.0,22583.0,35169.0,171,3,6,24,45,0.6099282335859205,487,21,43,69,96,SK 1518,1.3854699838158586,0
216,9,21,28,75,0,0.0,132,3,5,14,32,29633352.0,345669.0,657316.0,3102106.0,7931698.0,0.579886243221005,34783490.4431076,708921.43675692,1019511.85363457,5610734.11109786,10956400.01133746,US,50,1,3,6,19,21490944.0,248196.0,988843.0,2045409.0,8534558.0,0.1739813069583246,30,0,1,2,8,1.8848134738038231,2327.0,0.0,70.0,133.0,394.0,1092,21827,219.0,4673.0,179.0,5701.0,192.0,4306.0,0.0736704640133466,203.0,4531.0,94.0,2043.0,0.0373536418685566,27.0,574.0,0.6080418537965109,3,1,1,1,1,50294.0,34.0,34.0,34.0,34.0,0,0,0,0,0,44,0,2,9,16,1.014076964016541,11534.0,0.0,363.0,4877.0,5602.0,229,3,13,29,77,0.676514751890639,182123.0,1472.0,9261.0,25167.0,69746.0,134,0,3,9,46,1.6876176377594283,514,24,40,64,140,SK 1118,4.613570872017554,0
151,8,10,15,39,1,377000.0,67,2,5,12,24,10818832.0,533579.0,872396.0,1565846.0,4381100.0,0.1952483012574746,8655541.50382538,573814.2786784701,781131.2786784701,1305261.05355936,3315161.0903923903,US,12,1,1,1,4,5342196.0,424192.0,424192.0,424192.0,2340676.0,0.1812997101603268,11,0,0,1,3,2.443123954738499,3222.0,0.0,0.0,660.0,876.0,22144,7647,4726.0,1867.0,5819.0,1693.0,4051.0,1584.0,0.0234392555831052,4370.0,1447.0,2373.0,851.0,0.0229652768982037,805.0,205.0,5.836019062217568,10,0,0,0,0,36570.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,2,4,5,12,0.079936919375226,10143.0,304.0,429.0,445.0,2523.0,96,1,9,12,35,0.246426645751416,58654.0,453.0,8127.0,10585.0,24299.0,62,0,0,0,2,4.327412874976414,448,8,22,43,118,SK 1462,0.1187928914758146,18
45,14,26,34,42,1,57528.0,22,2,7,11,18,3281707.0,163291.0,971985.0,2177137.0,3004932.0,0.1153986530536756,3679470.266132765,105763.0,1333074.16696319,2933014.28801432,3679470.266132765,US,6,0,2,4,6,2312024.0,0.0,594646.0,1562024.0,2312024.0,1.8563831193607292,5,0,4,4,5,1.0545379007646385,1939.0,0.0,1011.0,1011.0,1939.0,13878,1719,1473.0,366.0,852.0,225.0,1538.0,373.0,0.009895926399733,1348.0,336.0,1350.0,324.0,0.0072308637224386,378.0,97.0,0.5420985057949103,5,1,4,4,4,48652.0,41992.0,42883.0,42883.0,42883.0,0,0,0,0,0,7,0,1,5,6,1.7258917581021025,2843.0,0.0,292.0,2050.0,2514.0,43,1,9,16,27,0.9561485669204004,22773.0,764.0,3871.0,7146.0,12236.0,23,0,6,12,17,1.0949950127751995,113,35,54,68,92,SK 1023,1.266726894388831,0
157,11,17,37,75,5,586204.0,97,7,8,18,39,18927468.0,756123.0,918351.0,2203576.0,7203449.0,0.0379273143564682,16412427.990688993,904036.6609436,1058356.98607099,2014142.2655653665,5628375.887720075,US,30,1,1,2,11,11587520.0,173000.0,173000.0,523000.0,4128081.0,0.4918954957535171,11,0,2,2,7,1.5179631268571452,2403.0,0.0,50.0,50.0,1586.0,30445,3676,3435.0,950.0,4123.0,778.0,2742.0,710.0,0.0690084090730484,3266.0,853.0,1236.0,313.0,0.0366395855896948,294.0,72.0,3.344562576799643,10,0,0,0,1,35085.0,0.0,0.0,0.0,225.0,0,0,0,0,0,51,1,3,7,19,0.6874074578446007,12198.0,17.0,140.0,631.0,5715.0,146,1,5,8,37,0.6547414418330596,93730.0,1842.0,5024.0,6760.0,23818.0,107,0,0,6,28,2.720057994094819,432,18,26,42,136,SK 1109,14.807480636505264,0
183,3,49,63,110,1,104000.0,95,1,5,9,36,18970853.0,104000.0,909855.0,1865506.0,7019539.0,0.3261439796086504,14788961.842236113,110529.21615813,783302.94853613,1717310.22206277,4591659.376035244,US,34,0,4,6,13,13068487.0,0.0,761575.0,1528665.0,4257944.0,1.5713383583765457,33,1,10,13,21,0.2973129958294637,3550.0,84.0,1939.0,2167.0,2691.0,6498,1952,592.0,413.0,357.0,271.0,622.0,423.0,0.0124319469672558,491.0,352.0,526.0,375.0,0.0133078012576722,158.0,118.0,0.4427098676789169,23,3,4,5,15,132014.0,53822.0,53822.0,55091.0,125632.0,1,0,0,1,1,53,4,13,16,33,0.3229270885898194,9386.0,401.0,1709.0,1873.0,5179.0,228,4,20,36,117,0.3849171704818956,116132.0,1099.0,8253.0,13714.0,47694.0,247,4,37,49,113,0.946782066633235,540,30,98,150,287,SK 0193,1.5351341363086153,0
91,4,7,8,32,2,243290.0,62,2,7,10,24,11760019.0,243290.0,2528038.0,3203582.0,5873908.0,0.0968526633025359,6564295.38067825,130583.66990252,1346277.9845999398,1668014.66926347,3296104.2858310365,US,19,0,3,4,9,8214667.0,0.0,2012760.0,2426202.0,4079428.0,1.1024088465035455,9,0,0,0,0,6.210613974916916,2734.0,0.0,0.0,0.0,0.0,4763,13091,625.0,1796.0,468.0,1276.0,528.0,1666.0,0.0665581062584739,512.0,1416.0,241.0,872.0,0.0347349547222576,49.0,155.0,3.751058123907962,9,0,0,0,2,68383.0,0.0,0.0,0.0,384.0,0,0,0,0,0,30,0,2,4,16,1.9506323513921475,6023.0,0.0,118.0,321.0,3457.0,99,1,1,5,26,0.3371804193338242,66658.0,1939.0,1939.0,4602.0,21460.0,172,1,7,8,33,0.9403495219742296,334,1,13,32,107,SK 0953,0.042580656040927,11
95,6,15,32,42,0,0.0,20,1,5,9,13,4253063.0,98804.0,702858.0,2705638.0,3216410.0,0.5795319009786675,3372098.07920166,0.0,549727.54542048,2179380.0025062496,2673578.97580615,US,5,0,0,3,4,2848531.0,0.0,0.0,2051479.0,2328531.0,2.356071930961925,6,1,1,1,2,0.9924925303153526,2529.0,65.0,65.0,65.0,133.0,12980,976,1621.0,130.0,1279.0,147.0,1447.0,98.0,0.0279099372066623,1395.0,115.0,731.0,47.0,0.0346906551876797,153.0,29.0,0.7631924922559924,8,1,2,3,6,26794.0,339.0,482.0,875.0,9212.0,0,0,0,0,0,24,2,2,4,9,0.0425315718819693,6097.0,1795.0,1795.0,2487.0,3084.0,113,4,7,12,29,0.4082653627392729,59412.0,2751.0,3706.0,5469.0,14192.0,107,0,6,18,33,1.547516033223879,346,9,26,53,116,SK 0311,0.0459944219291329,10
190,3,15,51,108,0,0.0,72,0,3,8,31,13348665.0,0.0,394901.0,875732.0,7288518.0,1.0530545138036267,9285916.673056424,0.0,790707.58663929,1061242.58663929,6258393.621028743,US,15,0,1,2,9,7429112.0,0.0,219528.0,487528.0,4755728.0,1.4991968052884397,25,0,3,17,20,1.7210775059699406,4972.0,0.0,437.0,3917.0,4327.0,170,564,35.0,61.0,37.0,53.0,33.0,52.0,0.0150904617060156,28.0,49.0,18.0,27.0,0.0504612216372425,19.0,20.0,0.7040323110196002,24,2,5,8,13,72288.0,19986.0,27034.0,47027.0,49111.0,3,0,0,0,1,78,7,13,22,42,0.3542405302939038,27958.0,2732.0,5153.0,7729.0,16009.0,163,6,20,32,89,0.3098941689147085,93840.0,4536.0,12234.0,18322.0,47994.0,111,0,13,28,77,1.3346356450510477,680,22,109,192,369,SK 0015,2.067805751060989,0
47,3,6,8,25,4,347388.0,53,4,5,8,21,7824792.0,347388.0,601830.0,821479.0,2325341.0,0.0360401437504025,7141993.641735741,538246.16812347,975667.896348,975667.896348,1748014.2610867112,US,12,0,1,1,2,4226160.0,0.0,251635.0,251635.0,450355.0,1.847436286748212,1,0,0,0,1,4.036027607345415,436.0,0.0,0.0,0.0,436.0,14858,15624,3147.0,3310.0,4101.0,4321.0,2715.0,2842.0,0.0597678494728072,3007.0,3182.0,1366.0,1421.0,0.0285502951101498,522.0,547.0,6.807882512214382,4,0,0,0,0,1864.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23,2,4,5,13,0.7435951459919395,4002.0,131.0,260.0,442.0,2321.0,89,2,7,11,30,0.5193539663265488,75307.0,2944.0,7145.0,10642.0,30978.0,35,0,0,0,1,4.287333718259825,351,8,24,51,150,SK 1293,0.3020336413675006,2
270,7,8,39,108,2,208973.0,179,2,2,13,50,31541685.0,208973.0,208973.0,1878373.0,10604295.0,0.0223132678603201,21575202.92912812,280329.12589574,280329.12589574,1542705.71280173,6698438.1179471845,US,65,0,0,5,23,23178462.0,0.0,0.0,1189766.0,9202970.0,2.465782989484856,25,0,0,0,6,3.235929400841501,6652.0,0.0,0.0,0.0,874.0,23606,24978,2826.0,3027.0,2591.0,3492.0,2501.0,2490.0,0.0930930820480803,2336.0,2564.0,1496.0,1192.0,0.0465307700524193,518.0,356.0,3.106321054485821,40,0,0,0,4,193185.0,0.0,0.0,0.0,1516.0,3,0,0,0,0,102,6,8,10,25,0.0904759441198888,28011.0,3763.0,5938.0,6472.0,11782.0,182,0,5,7,20,1.2448223930474775,133623.0,0.0,5784.0,7015.0,16642.0,233,3,6,11,80,0.2818303586088648,974,6,13,48,171,SK 0045,0.0407436162477078,11
25,9,15,19,21,5,989653.0,9,6,8,9,9,1427940.0,1118009.0,1316637.0,1427940.0,1427940.0,0.0478235042303093,1600639.758184958,1343116.83393031,1406631.8298573578,1600639.758184958,1600639.758184958,US,2,2,2,2,2,622321.0,622321.0,622321.0,622321.0,622321.0,0.2220304630592083,5,0,2,5,5,1.3574066587425295,375.0,0.0,25.0,375.0,375.0,10179,4721,2425.0,590.0,1916.0,440.0,2172.0,529.0,0.0830978625960644,2343.0,551.0,1086.0,247.0,0.0381639132786606,236.0,45.0,1.447417405340447,2,0,2,2,2,5934.0,0.0,5934.0,5934.0,5934.0,0,0,0,0,0,2,0,1,1,2,1.9915233008756257,251.0,0.0,189.0,189.0,251.0,41,1,14,18,24,0.8962308240716317,15342.0,272.0,4302.0,7065.0,8381.0,30,8,13,17,28,0.102797434052254,73,7,25,44,57,SK 0525,27.100857218184487,0
41,12,12,17,28,1,337591.0,22,4,7,9,15,3766334.0,2151195.0,2621612.0,2767815.0,3301691.0,0.2214245012416338,3321969.4513999643,2023799.1463650905,2610260.65992303,2610260.65992303,2708335.0375610944,US,7,4,5,5,5,2919311.0,1985223.0,2257404.0,2257404.0,2257404.0,0.2452015472178899,1,1,1,1,1,0.7248686179012561,442.0,442.0,442.0,442.0,442.0,12348,5738,3196.0,671.0,1699.0,480.0,2946.0,600.0,0.0165209633783951,2839.0,558.0,1467.0,306.0,0.0204980677974325,200.0,75.0,2.232710042709518,4,0,0,1,2,8854.0,0.0,0.0,542.0,7169.0,0,0,0,0,0,6,0,1,3,6,1.6181623076604632,3118.0,0.0,338.0,2032.0,3118.0,63,1,6,11,28,0.8666248048519549,35381.0,514.0,3791.0,7236.0,16127.0,53,5,8,11,19,0.2794977462283862,168,0,15,43,87,SK 1397,1.3801067470392614,0
182,4,20,48,122,0,0.0,81,1,4,13,41,16345400.0,136185.0,663450.0,4332458.0,9174714.0,0.7967445533267626,16203614.703053646,77544.707824169,911204.630492559,3708885.1620169687,8658895.789175019,US,27,0,3,8,19,11128024.0,0.0,648781.0,3840743.0,7553966.0,1.403889129711827,28,0,3,14,21,1.535174905902325,5291.0,0.0,572.0,3047.0,4654.0,613,8728,74.0,1918.0,63.0,1281.0,64.0,1899.0,0.0171201760161739,65.0,1676.0,36.0,1508.0,0.0205652140284492,24.0,446.0,0.2510623172364863,12,2,3,3,7,95840.0,12112.0,15803.0,15803.0,91342.0,1,0,0,0,0,38,3,4,10,18,0.2422370421436057,9830.0,1010.0,1099.0,2582.0,3599.0,274,4,15,54,121,0.4256491906916627,140819.0,4025.0,10005.0,22079.0,52387.0,369,0,10,48,154,1.62346028730591,793,11,59,110,291,SK 0153,0.0792329019654733,16
388,10,14,41,146,0,0.0,147,3,6,13,42,28426910.0,422248.0,658761.0,2451995.0,6905538.0,0.6526246364782816,21612388.71304366,449400.81878688,551680.6909896,2545518.93884167,6665155.130066672,US,46,0,2,8,23,19409522.0,0.0,291451.0,2824106.0,6387972.0,1.0496149217336592,39,3,5,5,11,0.4345347822222581,10667.0,125.0,1641.0,1641.0,2076.0,4911,11422,514.0,2719.0,374.0,1941.0,474.0,2568.0,0.025320070003852,471.0,2411.0,260.0,1464.0,0.0437874973537015,50.0,318.0,2.396175433350596,35,0,0,2,8,194870.0,0.0,0.0,3925.0,101417.0,0,0,0,0,0,88,0,3,10,31,1.114039528325524,21547.0,0.0,564.0,2461.0,8548.0,397,4,15,29,94,0.2719166655661619,237764.0,1885.0,11164.0,19042.0,58425.0,436,3,16,65,165,0.6746330550184662,1400,20,73,141,470,SK 1155,0.0580177793178628,26
74,6,10,24,39,4,1023331.0,33,5,8,10,16,7362775.0,1115457.0,1538115.0,2782675.0,4274472.0,0.0718799657474345,7467117.406794442,774024.169993037,1442138.7500227771,2899705.1060269866,3586634.536248522,US,12,1,1,3,5,4996130.0,650000.0,650000.0,1894336.0,2986744.0,0.1839490917022395,18,0,1,3,8,1.2310592353113916,3043.0,0.0,20.0,714.0,1471.0,12185,27932,1452.0,2977.0,1306.0,3266.0,1146.0,2596.0,0.0270852847485154,1465.0,2883.0,496.0,1563.0,0.0914793447600748,118.0,464.0,1.1206007735043515,14,0,2,3,6,29899.0,0.0,431.0,508.0,10721.0,1,0,0,0,0,11,0,0,1,7,2.8434539832605408,2584.0,0.0,0.0,80.0,2029.0,72,3,11,18,32,0.6293036429702159,41545.0,1526.0,6909.0,10563.0,18621.0,96,3,11,21,48,0.314755260375284,248,9,32,52,111,SK 1523,3.647824016863373,0
37,3,6,6,6,3,673080.0,17,3,3,3,3,2466309.0,673080.0,673080.0,673080.0,673080.0,0.136115291692672,3101631.9514361303,1538646.58879395,1538646.58879395,1538646.58879395,1538646.58879395,US,3,2,2,2,2,1023326.0,900000.0,900000.0,900000.0,900000.0,0.1787314642183581,7,0,0,0,0,7.265091414704146,342.0,0.0,0.0,0.0,0.0,4865,3351,568.0,374.0,422.0,246.0,522.0,355.0,0.0275151159768194,507.0,338.0,263.0,179.0,0.0281094043144357,53.0,33.0,9.444975938913675,2,0,0,0,0,166.0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0,0,0,0,8.263251005924207,243.0,0.0,0.0,0.0,0.0,77,1,12,18,22,0.7907959045463706,59671.0,681.0,8743.0,13600.0,16198.0,79,4,6,10,22,0.6567777606304263,176,3,17,20,23,SK 1766,8.283541645356372,0
84,6,25,35,56,0,0.0,54,0,4,11,31,8971541.0,0.0,1347936.0,3156341.0,5565807.0,1.455055335814088,7261004.902680821,0.0,1358380.1987163,2476985.8399269003,4227874.231876751,US,11,0,2,5,9,5451763.0,0.0,1344078.0,2993100.0,4587995.0,1.5922828510830973,3,0,2,3,3,1.9073187236579967,1253.0,0.0,1152.0,1253.0,1253.0,467,3282,107.0,365.0,111.0,216.0,89.0,344.0,0.0230593093173604,90.0,297.0,45.0,239.0,0.0156932118191657,26.0,57.0,0.1995125890768898,11,2,5,6,8,63194.0,22800.0,37422.0,38930.0,47887.0,0,0,0,0,0,17,1,2,4,7,0.9782042019823805,4280.0,240.0,300.0,867.0,1465.0,99,4,18,34,56,0.3644986307630219,54987.0,1299.0,8115.0,15907.0,27158.0,225,2,18,66,112,0.5286259434487945,349,19,83,132,235,SK 1215,0.4375281367283357,2
268,4,16,30,62,3,669960.0,169,10,19,29,62,33549911.0,1715505.0,4017124.0,5925380.0,10661300.0,0.0214018154540356,31997169.04456583,1728297.34847135,3490000.98652358,5170561.949112129,10452300.34655282,US,49,5,10,13,22,26602911.0,1282355.0,3402761.0,4215147.0,7020274.0,0.098852980098945,16,0,1,2,3,1.6081693187246986,3610.0,0.0,486.0,536.0,837.0,1110,818,264.0,191.0,212.0,176.0,243.0,168.0,0.0305656217594964,211.0,164.0,143.0,92.0,0.0163204149188583,36.0,28.0,0.3887317847158232,29,1,3,6,13,44450.0,149.0,373.0,2284.0,5104.0,0,0,0,0,0,170,1,2,6,33,0.6874328438534383,38077.0,149.0,310.0,958.0,6958.0,279,6,15,26,71,0.1667028284813905,202752.0,4259.0,10934.0,22307.0,48749.0,215,0,0,2,27,2.451835428460261,1398,12,48,124,352,SK 1237,0.0835383986676113,9
246,4,14,23,58,3,403053.0,106,3,6,14,26,26098956.0,403053.0,1391697.0,4553657.0,6226146.0,0.0978395249689066,17720351.281882156,212389.108025496,1164580.546023526,2872171.943811944,4062754.571426272,US,35,0,1,5,9,16232598.0,0.0,696641.0,2899316.0,3749303.0,1.69631485724243,11,0,1,1,1,1.6782919715996245,3233.0,0.0,186.0,186.0,186.0,20677,3267,4297.0,470.0,5455.0,430.0,3754.0,393.0,0.0354032275911048,3735.0,425.0,2279.0,206.0,0.0639151380140458,1157.0,59.0,1.3836200790909725,19,0,1,3,5,132511.0,0.0,211.0,47366.0,50604.0,1,0,0,0,0,71,0,2,5,21,1.1052023112443037,13900.0,0.0,247.0,691.0,3324.0,264,3,14,31,79,0.4586560324839318,131691.0,1705.0,5126.0,12951.0,36331.0,179,0,2,8,34,1.9410448661151525,509,16,26,48,131,SK 1362,11.393145038031212,0
149,7,14,30,55,5,776181.0,110,11,14,23,49,20869748.0,1676820.0,2119177.0,3187043.0,9308173.0,0.1194964567220143,19318428.478852022,1177185.30024917,1600371.915200694,2571657.4344026814,7822524.301243136,US,30,2,2,3,11,11229515.0,793736.0,793736.0,1020736.0,4591139.0,0.1452910589359896,16,1,1,1,10,0.4783266785007563,1199.0,1.0,1.0,1.0,1056.0,24240,23965,5031.0,2375.0,5232.0,3011.0,4786.0,2196.0,0.0399564363078367,4565.0,2275.0,3423.0,1521.0,0.0293249188506922,1204.0,638.0,0.7107993435912249,13,1,1,1,6,9408.0,76.0,76.0,76.0,2953.0,0,0,0,0,0,36,1,3,5,16,0.9882926730539164,4531.0,45.0,128.0,408.0,1965.0,237,2,12,25,76,0.7599820814923643,198724.0,1719.0,10524.0,20846.0,61472.0,160,0,0,0,30,3.4350365695170164,653,10,41,89,237,SK 0024,0.0209793708056122,16
7,6,7,7,7,1,52379.0,3,3,3,3,3,328887.0,328887.0,328887.0,328887.0,328887.0,0.0586531469335655,120718.93164413,120718.93164413,120718.93164413,120718.93164413,120718.93164413,US,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,30.96443294335494,1,0,1,1,1,1.5532312247606024,143.0,0.0,143.0,143.0,143.0,11469,1859,2726.0,200.0,2221.0,159.0,2437.0,144.0,0.0283000291561002,2514.0,171.0,1298.0,57.0,0.0232504231277205,272.0,26.0,1.4609377236454189,2,0,1,1,2,6560.0,0.0,3926.0,3926.0,6560.0,0,0,0,0,0,1,1,1,1,1,0.0716208338652218,494.0,494.0,494.0,494.0,494.0,6,0,1,5,6,1.8447255440467731,4194.0,0.0,574.0,3169.0,4194.0,0,0,0,0,0,31.086017888675197,25,13,16,20,23,SK 1708,37.464334249456726,0
