store,longitude,latitude,cbsa_name,dma_name,market_size,store_density,censusregion,censusdivision
3157100,-73.93088371619541,40.66925770607832,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Urban,Northeast,Middle Atlantic
3157400,-119.73862088999881,39.42331384117989,"Reno, NV","Reno, NV",Medium City (4),Exurban,West,Mountain
3157500,-87.1285349859038,37.491438517206035,"Owensboro, KY","Evansville, IN",Small City (5),Rural,South,East South Central
3157600,-77.66402897706656,43.165067407565026,"Rochester, NY","Rochester, NY",Large Metro (2),Light Suburban,Northeast,Middle Atlantic
3158100,-76.50816560043518,43.457793932243305,"Syracuse, NY","Syracuse, NY",Large City (3),Exurban,Northeast,Middle Atlantic
3158200,-88.1270982412951,41.68302123941134,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL",Very Large Metro (1),Exurban,Midwest,East North Central
315900,-73.53047595275709,40.69187520625559,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Light Suburban,Northeast,Middle Atlantic
3159200,-122.37103751809725,40.61041194619306,"Redding, CA","Chico-Redding, CA",Small City (5),Exurban,West,Pacific
3159400,-71.08440183994811,42.33736186502823,"Boston-Cambridge-Newton, MA-NH","Boston et al, MA-NH",Very Large Metro (1),Urban,Northeast,New England
3159500,-117.08681171996997,32.630527964169154,"San Diego-Carlsbad, CA","San Diego, CA",Very Large Metro (1),Suburban,West,Pacific
3159700,-74.21703794964667,43.048746498002835,"Gloversville, NY","Albany et al, NY",Small Town (6),Rural,Northeast,Middle Atlantic
31600,-72.53136023201307,41.77253109769019,"Hartford-West Hartford-East Hartford, CT","Hartford & New Haven, CT",Large Metro (2),Exurban,Northeast,New England
316000,-80.546549,40.409486,"Weirton-Steubenville, WV-OH","Wheeling et al, WV-OH",Small City (5),Rural,South,South Atlantic
3160500,-108.23267624125751,36.73205752092309,"Farmington, NM","Albuquerque-Santa Fe, NM",Small City (5),Exurban,West,Mountain
3160600,-157.86152449849183,21.320080741165167,"Urban Honolulu, HI","Honolulu, HI",Large Metro (2),Light Urban,West,Pacific
3161200,-82.27235721289594,27.853974265777047,"Tampa-St. Petersburg-Clearwater, FL","Tampa et al, FL",Very Large Metro (1),Exurban,South,South Atlantic
3161300,-117.63533397008122,33.62724636336824,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Light Suburban,West,Pacific
3161700,-71.19470253240866,42.33200994233994,"Boston-Cambridge-Newton, MA-NH","Boston et al, MA-NH",Very Large Metro (1),Suburban,Northeast,New England
316200,-80.09135877624252,42.08018807378038,"Erie, PA","Erie, PA",Medium City (4),Light Suburban,Northeast,Middle Atlantic
3162200,-91.61176351037167,35.764456342438734,"Batesville, AR","Little Rock et al, AR",Small Town (6),Exurban,South,West South Central
3162400,-84.91271912736434,33.49049025319796,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Rural,South,South Atlantic
3163100,-84.59022153298898,35.43621176322173,"Athens, TN","Chattanooga, TN",Small Town (6),Rural,South,East South Central
3163400,-88.007939,43.321816,"Milwaukee-Waukesha-West Allis, WI","Milwaukee, WI",Large Metro (2),Rural,Midwest,East North Central
3163700,-101.855804,33.563919,"Lubbock, TX","Lubbock, TX",Medium City (4),Light Suburban,South,West South Central
3164200,-84.08895266668262,39.526951937603606,"Cincinnati, OH-KY-IN","Cincinnati, OH",Large Metro (2),Rural,Midwest,East North Central
3164500,-112.22110840481741,33.480718172038834,"Phoenix-Mesa-Scottsdale, AZ","Phoenix et al, AZ",Very Large Metro (1),Light Suburban,West,Mountain
3165200,-119.234491714819,34.25824698490981,"Oxnard-Thousand Oaks-Ventura, CA","Los Angeles, CA",Large City (3),Light Suburban,West,Pacific
316600,-80.14340516910198,42.105228250884586,"Erie, PA","Erie, PA",Medium City (4),Light Suburban,Northeast,Middle Atlantic
3166400,-80.22863660361891,25.75095693299086,"Miami-Fort Lauderdale-West Palm Beach, FL","Miami-Ft. Lauderdale, FL",Very Large Metro (1),Light Urban,South,South Atlantic
3166500,-73.85450319684415,40.743138021566246,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Urban,Northeast,Middle Atlantic
3166900,-122.67002266530896,42.186753047616335,"Medford, OR","Medford et al, OR",Medium City (4),Exurban,West,Pacific
316700,-113.064367,37.66547,"Cedar City, UT","Salt Lake City, UT",Small Town (6),Exurban,West,Mountain
3167200,-75.66378461325148,41.40832966205051,"Scranton--Wilkes-Barre--Hazleton, PA","Wilkes Barre et al, PA",Large City (3),Light Suburban,Northeast,Middle Atlantic
3167500,-77.33336740665462,35.59939321547973,"Greenville, NC","Greenville et al, NC",Small City (5),Light Suburban,South,South Atlantic
3167600,-84.26382464288692,33.93013963452179,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Light Suburban,South,South Atlantic
3167700,-73.10261443813847,41.8119599270941,"Torrington, CT","Hartford & New Haven, CT",Small City (5),Exurban,Northeast,New England
3167800,-71.52738303051903,42.016388624893864,"Worcester, MA-CT","Boston et al, MA-NH",Large City (3),Exurban,Northeast,New England
