__store_latitude,__store_longitude,latitude,longitude,store,__batch_group,__store_class,__market_class,__store_bg,__store_class_respop,total_comp_1_mi,total_comp_dma,total_comp_3_mi,total_comp_5_mi,total_comp_adjacent,total_comp_ta,sis_dma,sis_1_mi,sis_3_mi,sis_5_mi,sis_ta,sis_adjacent,__success,__errors,totalhours,buildingsize,decortype,buildingstyletype,franchisee_grade,drivethruindicator,numberofindoorcustomerareaseats
36.91828135263279,-121.78570476961212,36.91828135263279,-121.78570476961212,510300,2,6,4,60871104003,4,6,197,18,18,2,18,37,0,2,2,2,0,True,0,,,,,,,
44.90369291572848,-116.09867501540327,44.90369291572848,-116.09867501540327,1400900,2,7,7,160859703001,7,0,365,0,0,0,0,45,0,0,0,0,0,True,0,,,,,,,
39.10369333941456,-77.15676897927506,39.10369333941456,-77.15676897927506,1332900,2,4,1,240317010041,4,5,2523,46,108,2,17,361,0,7,16,2,0,True,0,,,,,,,
40.80456691208338,-124.15131786385432,40.80456691208338,-124.15131786385432,2306900,2,6,5,60230005001,4,5,41,15,15,2,15,8,0,1,1,1,0,True,0,,,,,,,
41.46714858852838,-86.48325406502836,41.46714858852838,-86.48325406502836,1638100,2,7,4,181410122002,7,1,401,1,1,1,1,57,0,0,0,0,0,True,0,,,,,,,
40.51288735830264,-74.3839614260628,40.51288735830264,-74.3839614260628,5048900,2,5,1,340230017023,4,10,5316,29,105,1,29,535,0,3,7,2,0,True,0,,,,,,,
33.7439960019501,-118.10217402070803,33.7439960019501,-118.10217402070803,1155000,2,5,1,60590995121,4,5,6752,21,104,3,14,875,0,2,17,2,0,True,0,,,,,,,
40.454976042985066,-88.10773927664891,40.454976042985066,-88.10773927664891,741300,2,7,4,170539618003,7,4,470,4,4,2,4,87,0,0,0,0,0,True,0,,,,,,,
44.25572201821959,-121.18233706087956,44.25572201821959,-121.18233706087956,584200,2,6,4,410170009001,5,12,59,16,16,2,16,8,1,2,2,2,0,True,0,,,,,,,
40.00309051563615,-104.7159606412794,40.00309051563615,-104.7159606412794,4238900,2,7,4,81230019022,6,0,1860,3,20,0,6,232,0,0,2,0,0,True,0,,,,,,,
34.00231682587194,-117.81158518579863,34.00231682587194,-117.81158518579863,1272900,2,5,1,60374033192,4,7,6752,28,83,4,22,875,0,1,7,1,0,True,0,,,,,,,
38.66448098841588,-96.48727687781272,38.66448098841588,-96.48727687781272,3058200,2,7,7,201279637001,7,4,234,4,4,4,4,24,0,0,0,0,0,True,0,,,,,,,
41.21957234546757,-81.63726915512675,41.21957234546757,-81.63726915512675,2271300,2,7,3,391535325021,7,1,1793,1,2,1,2,282,0,0,1,1,0,True,0,,,,,,,
